title,category,slug,code_rome,salaire_median_annuel,salaire_median_horaire,niveau_education,nombre_demandeurs,nombre_offres,tension_pct,tension_desc,description,url
Conducteur / Conductrice d'engins agricoles,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,conducteur-conductrice-d-engins-agricoles,A1101,27228,16.94,Bac (Baccalauréat),3330,12980,4,Favorable,"Réalise des travaux agricoles mécanisés. \nAménage et prépare les terrains, assure le labourage, le désherbage, les semis et récolte la production.\nUtilise différentes machines (tracteur, moissonneus",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1101
Conducteur / Conductrice d'engins d'exploitation forestière,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,conducteur-conductrice-d-engins-d-exploitation-forestiere,A1102,27228,16.94,Bac (Baccalauréat),270,6810,4,Favorable,"Réalise des travaux mécanisés de sylviculture et d'exploitation forestière.\nConduit des engins perfectionnés de bûcheronnage afin d'exécuter des travaux d'abattage, d'ébranchage, de tronçonnage, de d",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1102
Bûcheron / Bûcheronne,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,bucheron-bucheronne,A1201,25080,15.61,Bac (Baccalauréat),1440,4380,5,Très favorable,"Le bûcheron, acteur indispensable de la gestion forestière, participe à la gestion durable des forêts et à la préservation de la biodiversité.\nSélectionne et prépare les sites de coupe selon les plan",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1201
Agent / Agente d'entretien des espaces naturels,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,agent-agente-d-entretien-des-espaces-naturels,A1202,24504,15.25,Bac (Baccalauréat),6970,5470,2,Défavorable,"L'Agent d'entretien des espaces naturels joue un rôle important dans la préservation et la mise en valeur des espaces naturels, préservant la biodiversité et les écosystèmes.\nEntretient les espaces n",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1202
Agent / Agente d'entretien des espaces verts,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,agent-agente-d-entretien-des-espaces-verts,A1203,24504,15.25,Bac (Baccalauréat),56190,50900,2,Défavorable,"L'agent d'entretien des espaces verts maintient la propreté, embellit les espaces verts, les parcs et jardins et participe à la préservation de l'environnement.\nRéalise des opérations de plantation, ",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1203
Garde de parc naturel,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,garde-de-parc-naturel,A1204,40436,25.16,Bac+2 (BTS/DUT),1210,1550,4,Favorable,"Effectue la surveillance de site (espaces naturels, protégés, ...) et veille à la sauvegarde du patrimoine naturel (réserve naturelle, forêts, littoral, ...) selon les directives institutionnelles, la",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1204
Sylviculteur / Sylvicultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,sylviculteur-sylvicultrice,A1205,25080,15.61,Bac+3 (Licence),210,200,5,Très favorable,"Le sylviculteur supervise l'ensemble des travaux d'entretien et de reconstitution des forêts, assurant ainsi la gestion durable des forêts.\nGère et surveille la croissance et la santé des arbres\nCon",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1205
Concepteur / Conceptrice paysagiste,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,concepteur-conceptrice-paysagiste,A1206,24504,15.25,Bac+5 (Master/Ingénieur),860,1250,2,Défavorable,"Le Concepteur paysagiste conçoit des projets d'aménagements ou de réaménagement d'espaces extérieurs ruraux ou urbains en prenant compte des considérations esthétiques, environnementales et fonctionne",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1206
Chef / Cheffe d'équipe d'entretien d'espaces naturels,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,chef-cheffe-d-equipe-d-entretien-d-espaces-naturels,A1207,24504,15.25,Bac+2 (BTS/DUT),60,590,2,Défavorable,Le Chef d'équipe d'entretien d'espaces naturels orchestre la préservation et la valorisation de nos espaces naturels.\nSupervise et coordonne les activités d'entretien des espaces naturels\nPlanifie l,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1207
Jardinier / Jardinière paysagiste,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,jardinier-jardiniere-paysagiste,A1208,24504,15.25,Bac (Baccalauréat),22830,27140,2,Défavorable,"Le Jardinier paysagiste, entretient des jardins ou espaces verts, pour embellir l'environnement et créer une atmosphère fonctionnelle et accueillante.\nConçoit et aménage des jardins et des espaces ve",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1208
